"cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","cmplnt_to_dt","cmplnt_to_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","parks_nm","hadevelopt","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","transit_district","latitude","longitude","lat_lon","patrol_boro","station_name","vic_age_group","vic_race","vic_sex"
"535114570","2019-07-15T00:00:00.000","10:00:00",,,"75","2019-07-15T00:00:00.000","578","HARRASSMENT 2","638.0","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","BROOKLYN","INSIDE","RESIDENCE-HOUSE","N.Y. POLICE DEPT","0.0",,,,"1017399","183092","<18","BLACK","U",,"40.66916813900008","-73.880506369","(40.66916813900008, -73.880506369)","PATROL BORO BKLYN NORTH",,"<18","WHITE HISPANIC","F"
"129774032","2019-07-15T00:00:00.000","09:35:00","2019-07-15T00:00:00.000","10:05:00","14","2019-07-15T00:00:00.000","361","OFF. AGNST PUB ORD SENSBLTY &","639.0","AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE",,"N.Y. POLICE DEPT","0.0",,,,"988595","212074",,,,,"40.74877786100007","-73.98431993799994","(40.74877786100007, -73.98431993799994)","PATROL BORO MAN SOUTH",,"UNKNOWN","UNKNOWN","D"
"252303966","2019-07-15T00:00:00.000","01:00:00",,,"25","2019-07-15T00:00:00.000","101","MURDER & NON-NEGL. MANSLAUGHTER",,,"COMPLETED","FELONY",,"OUTSIDE",,"N.Y. HOUSING POLICE",,,,,"1002785","230463",,,,,"40.799232486000044","-73.93305619799997","(40.799232486000044, -73.93305619799997)",,,"25-44","BLACK","M"
"516688332","2019-07-14T00:00:00.000","22:00:00",,,"44","2019-07-15T00:00:00.000","341","PETIT LARCENY","349.0","LARCENY,PETIT OF LICENSE PLATE","COMPLETED","MISDEMEANOR","BRONX",,"GAS STATION","N.Y. POLICE DEPT","0.0",,,,"1007027","245405",,,,,"40.84023413800003","-73.91768411399994","(40.84023413800003, -73.91768411399994)","PATROL BORO BRONX",,"25-44","BLACK","M"
"175633043","2019-06-28T00:00:00.000","12:00:00","2019-06-28T00:00:00.000","12:05:00","25","2019-07-15T00:00:00.000","341","PETIT LARCENY","321.0","LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","MANHATTAN",,"STREET","N.Y. POLICE DEPT","0.0",,,,"1002895","229191","UNKNOWN","UNKNOWN","U",,"40.795740960000046","-73.93266242799997","(40.795740960000046, -73.93266242799997)","PATROL BORO MAN NORTH",,"65+","BLACK HISPANIC","M"
"779946711","2019-07-14T00:00:00.000","16:45:00","2019-07-14T00:00:00.000","16:50:00","44","2019-07-14T00:00:00.000","578","HARRASSMENT 2","638.0","HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","BRONX",,"STREET","N.Y. POLICE DEPT","0.0",,,,"1003608","241656","UNKNOWN","BLACK","M",,"40.829952373000026","-73.93005138299998","(40.829952373000026, -73.93005138299998)","PATROL BORO BRONX",,"25-44","BLACK","M"
"679286099","2019-07-14T00:00:00.000","16:00:00","2019-07-14T00:00:00.000","16:13:00","1","2019-07-14T00:00:00.000","358","OFFENSES INVOLVING FRAUD","705.0","FORGERY,ETC.-MISD.","ATTEMPTED","MISDEMEANOR","MANHATTAN",,"OTHER","N.Y. POLICE DEPT","0.0",,,,"983277","201795","25-44","BLACK","M",,"40.720565546000046","-74.00351160799994","(40.720565546000046, -74.00351160799994)","PATROL BORO MAN SOUTH",,"UNKNOWN","UNKNOWN","D"
"507315413","2019-07-14T00:00:00.000","12:34:00",,,"25","2019-07-14T00:00:00.000","341","PETIT LARCENY","333.0","LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","MANHATTAN","INSIDE","CHAIN STORE","N.Y. POLICE DEPT","0.0",,,,"1002996","229133",,,,,"40.795581553000034","-73.93229781499997","(40.795581553000034, -73.93229781499997)","PATROL BORO MAN NORTH",,"UNKNOWN","UNKNOWN","D"
"431432414","2019-07-14T00:00:00.000","03:00:00",,,"44","2019-07-14T00:00:00.000","344","ASSAULT 3 & RELATED OFFENSES","101.0","ASSAULT 3","COMPLETED","MISDEMEANOR","BRONX","INSIDE","STREET","N.Y. POLICE DEPT","0.0",,,,"1009486","243711","25-44","BLACK","M",,"40.83557791700008","-73.90880353099993","(40.83557791700008, -73.90880353099993)","PATROL BORO BRONX",,"25-44","WHITE HISPANIC","F"
"789730894","2019-07-13T00:00:00.000","23:30:00","2019-07-13T00:00:00.000","23:32:00","48","2019-07-14T00:00:00.000","105","ROBBERY","384.0","ROBBERY,POCKETBOOK/CARRIED BAG","COMPLETED","FELONY","BRONX",,"STREET","N.Y. POLICE DEPT","0.0",,,,"1016741","249059","UNKNOWN","UNKNOWN","U",,"40.85023289100008","-73.88255951099995","(40.85023289100008, -73.88255951099995)","PATROL BORO BRONX",,"25-44","UNKNOWN","F"
"157642791","2019-07-12T00:00:00.000","15:45:00","2019-07-12T00:00:00.000","16:00:00","75","2019-07-13T00:00:00.000","341","PETIT LARCENY","339.0","LARCENY,PETIT FROM OPEN AREAS,","COMPLETED","MISDEMEANOR","BROOKLYN","FRONT OF","STREET","N.Y. POLICE DEPT","0.0",,,,"1015300","184506",,,,,"40.67305686000003","-73.88806629499999","(40.67305686000003, -73.88806629499999)","PATROL BORO BKLYN NORTH",,"25-44","BLACK","M"
"964480858","2019-07-12T00:00:00.000","19:50:00","2019-07-12T00:00:00.000","19:50:00","106","2019-07-12T00:00:00.000","106","FELONY ASSAULT","109.0","ASSAULT 2,1,UNCLASSIFIED","COMPLETED","FELONY","QUEENS","FRONT OF","STREET","N.Y. POLICE DEPT","0.0",,,,"1038091","186321",,,,,"40.67792934400006","-73.80589052599998","(40.67792934400006, -73.80589052599998)","PATROL BORO QUEENS SOUTH",,"25-44","WHITE HISPANIC","M"
"667707642","2019-07-12T00:00:00.000","15:55:00",,,"52","2019-07-12T00:00:00.000","235","DANGEROUS DRUGS","511.0","CONTROLLED SUBSTANCE, POSSESSI","COMPLETED","MISDEMEANOR","BRONX",,"STREET","N.Y. POLICE DEPT","0.0",,,,"1013169","255021","45-64","WHITE HISPANIC","M",,"40.86660920600008","-73.89544512599997","(40.86660920600008, -73.89544512599997)","PATROL BORO BRONX",,"UNKNOWN","UNKNOWN","E"
